Timestamp,What is your intake?,"Are lecture rooms well-equipped with necessary resources (e.g., desks, power outlets)",Is there sufficient seating in libraries during peak hours?,Are labs well-equipped with the necessary tools and technology?,Are labs regularly maintained?,How satisfied are you with the speed of the Wi-Fi during lecture hours?,How satisfied are you with the cleanliness of classrooms?,How satisfied are you with the cleanliness of the cafeteria?,"Are maintenance requests (e.g., broken equipment, leaks) addressed promptly?","How well-maintained are the classrooms (e.g., desks, boards, lighting)?","Are audio-visual aids (e.g., projectors, microphones) in classrooms functional?",Are the sports facilities adequately maintained?,Is the monthly fee for sports facilities appropriate for you?,"To what extent does your room suffer from insects (e.g., three-cavity ants, mosquitoes, etc.)?",How do you feel about the variety of food in the cafeteria?,How affordable do you think the price of food is?,   How do you feel about the food quality in the cafeteria?,Are emergency services or contact points easily accessible?
11/25/2024 13:37:10,2021,2,4,1,3,3,4,4,4,4,4,4,3,4,4,4,4,3
11/25/2024 13:40:05,2021,4,4,4,2,3,3,3,2,3,3,2,1,1,2,2,2,4
11/25/2024 13:43:00,2020,3,3,3,3,3,3,2,3,3,2,3,2,3,3,3,2,2
11/25/2024 21:18:09,2021,3,3,4,3,2,3,2,2,3,3,3,2,1,3,3,2,3
11/25/2024 21:19:17,2021,3,3,3,3,2,3,2,2,3,3,3,2,3,4,3,2,1
11/25/2024 21:20:21,2024,3,3,3,3,3,3,3,3,4,4,3,2,2,4,4,4,2
11/25/2024 21:20:32,2023,3,3,4,3,2,3,2,2,3,3,3,2,1,3,3,2,4
11/25/2024 21:21:01,2022,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3
11/25/2024 21:55:20,2021,3,3,4,3,2,3,2,2,3,3,3,2,1,3,3,2,1
11/25/2024 21:55:32,2021,3,3,4,3,2,3,2,2,3,3,3,2,1,3,3,3,2
11/25/2024 23:28:41,2021,2,2,2,2,2,3,2,2,2,2,1,1,1,2,2,1,4
11/25/2024 23:34:55,2021,3,4,2,2,2,3,2,2,3,3,2,1,3,1,2,3,2
11/25/2024 23:54:06,2023,3,3,3,3,2,3,3,3,3,3,2,2,1,1,1,2,3
11/26/2024 9:48:04,2021,3,1,4,4,2,1,3,4,3,2,1,2,3,4,3,2,1
11/26/2024 9:48:15,2024,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
11/26/2024 9:49:09,2024,4,2,4,4,4,4,3,4,4,4,4,4,4,2,4,3,4
11/26/2024 9:49:15,2024,1,1,1,4,4,4,1,1,1,4,4,3,3,3,2,2,2
11/26/2024 9:49:18,2021,1,3,2,3,1,4,3,3,3,3,3,3,3,3,3,2,2
11/26/2024 9:49:54,2020,2,3,3,2,2,3,3,2,2,3,3,3,1,3,2,3,1
11/26/2024 9:50:01,2021,3,2,3,4,3,3,3,3,3,4,4,4,4,1,2,2,3
11/26/2024 9:50:47,2021,2,3,3,3,2,1,3,1,2,3,3,1,4,1,1,2,4
11/26/2024 9:51:22,2024,4,4,4,4,3,4,4,4,4,2,4,4,1,2,2,4,4
11/26/2024 9:52:15,2023,3,2,2,2,1,3,2,2,2,3,3,2,3,1,1,1,2
11/26/2024 9:52:39,2021,3,2,2,2,2,4,3,3,4,4,2,1,2,2,3,2,2
11/26/2024 9:52:46,2024,4,2,4,4,4,4,3,4,4,4,4,3,4,2,2,3,4
11/26/2024 9:53:52,2024,4,3,1,1,1,3,3,2,3,3,1,2,3,2,2,2,3
11/26/2024 9:53:53,2021,3,4,2,2,2,3,3,3,3,2,3,2,3,3,3,2,3
11/26/2024 9:54:23,2021,4,2,4,1,3,3,2,3,4,3,3,2,3,2,3,2,3
11/26/2024 9:55:46,2021,4,4,4,4,4,2,3,2,4,3,2,1,2,2,1,2,1
11/26/2024 9:56:02,2021,3,3,3,3,4,4,2,3,3,3,3,3,3,4,3,3,2
11/26/2024 9:57:17,2022,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/26/2024 9:58:13,2022,4,4,3,3,3,3,3,2,3,3,3,3,2,2,2,3,3
11/26/2024 9:58:48,2021,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,2
11/26/2024 10:00:08,2021,2,2,2,3,2,3,3,2,3,3,3,3,2,2,2,2,3
11/26/2024 10:00:41,2024,4,4,4,4,2,3,3,1,3,3,4,4,3,3,2,3,3
11/26/2024 10:02:15,2024,4,4,4,4,3,4,4,3,4,4,4,4,1,4,4,4,4
11/26/2024 10:02:43,2021,3,2,4,2,3,3,3,2,4,2,3,2,3,2,3,2,3
11/26/2024 10:02:45,2021,3,2,3,3,2,4,3,3,3,3,3,3,2,2,2,2,3
11/26/2024 10:02:46,2021,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2
11/26/2024 10:03:25,2024,4,4,4,4,3,4,4,3,4,4,4,4,1,4,4,4,4
11/26/2024 10:09:35,2018,3,3,1,2,3,2,3,2,2,3,2,3,2,3,3,3,2
11/26/2024 10:10:17,2021,3,2,3,2,2,2,3,2,2,3,3,3,3,2,2,2,2
11/26/2024 10:12:15,2021,2,1,2,3,1,4,3,3,4,3,3,3,1,2,2,2,2
11/26/2024 10:19:29,2019,4,4,3,3,3,4,2,3,4,4,4,3,4,2,2,3,1
11/26/2024 10:19:52,2021,3,4,4,4,4,4,4,3,4,4,3,1,2,3,3,3,4
11/26/2024 10:20:31,2019,4,4,3,4,3,3,2,3,4,4,4,3,4,3,2,2,1
11/26/2024 10:22:21,2022,3,2,3,4,2,3,3,2,3,2,3,3,1,2,2,2,2
11/26/2024 10:25:05,2022,4,3,4,3,2,3,3,3,4,2,3,3,1,2,2,2,3
11/26/2024 10:26:44,2024,4,4,4,4,3,4,4,2,3,3,3,3,1,4,4,4,3
11/26/2024 10:37:57,2024,2,4,1,1,1,4,1,1,4,2,4,4,2,4,1,3,1
11/26/2024 10:39:36,2020,4,4,4,4,4,4,2,3,4,4,4,2,2,3,2,2,3
11/26/2024 10:41:33,2021,4,4,2,2,4,4,4,2,4,4,2,2,2,2,3,3,3
11/26/2024 10:54:42,2021,3,4,3,3,4,4,4,4,4,2,2,2,3,3,3,2,4
11/26/2024 10:59:46,2024,4,3,3,3,2,3,3,3,3,3,3,4,2,2,2,2,3
11/26/2024 11:03:50,2024,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/26/2024 11:07:34,2021,3,3,3,3,2,3,3,2,3,3,2,1,2,3,2,3,2
11/26/2024 11:07:57,2024,2,4,3,1,1,3,2,2,3,3,1,1,4,2,2,2,2
11/26/2024 11:23:45,2024,3,2,4,3,4,1,3,2,3,3,3,2,3,2,2,2,3
11/26/2024 11:27:42,2024,4,4,4,4,4,4,4,4,4,3,4,3,1,4,2,4,4
11/26/2024 11:28:07,2021,3,3,3,3,2,3,3,2,3,3,3,3,1,3,3,3,3
11/26/2024 11:32:34,2023,4,4,4,4,4,4,4,1,1,4,4,3,4,3,3,3,4
11/26/2024 11:36:32,2024,4,3,3,3,4,4,4,4,4,3,4,3,4,2,3,2,3
11/26/2024 11:46:24,2021,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
11/26/2024 11:57:22,2024,4,4,4,4,2,4,3,3,4,4,2,2,1,1,2,2,3
11/26/2024 12:39:56,2021,4,3,2,2,1,4,3,4,4,4,3,2,3,3,2,3,4
11/26/2024 13:13:47,2024,4,3,4,4,3,4,4,3,4,3,3,3,2,3,3,3,3
11/26/2024 13:24:17,2021,3,3,3,3,2,3,3,3,3,3,3,3,1,3,3,3,2
11/26/2024 13:27:27,2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/26/2024 13:32:50,2024,4,4,4,4,4,4,4,3,4,3,4,4,3,3,3,3,3
11/26/2024 13:35:29,2021,2,4,4,4,2,4,2,4,4,4,4,4,1,1,2,1,4
11/26/2024 13:38:19,2024,4,3,4,3,3,4,4,4,4,3,3,3,3,3,2,2,4
11/26/2024 13:44:59,2022,3,3,3,3,3,3,3,4,3,3,3,2,1,3,1,2,3
11/26/2024 14:27:02,2022,3,3,3,3,2,3,3,2,2,3,3,2,2,2,3,2,2
11/26/2024 15:00:09,2022,3,3,3,3,3,3,3,3,3,4,3,2,2,4,2,4,3
11/26/2024 15:02:20,2022,3,2,2,3,2,4,3,3,2,3,2,2,3,2,2,2,2
11/26/2024 15:03:22,2022,3,3,3,3,3,3,3,3,3,4,3,2,2,4,2,4,3
11/26/2024 15:10:45,2024,3,3,3,3,3,4,4,3,3,3,3,3,2,3,2,3,3
11/26/2024 15:11:48,2024,3,3,3,2,1,4,3,1,3,3,3,3,2,1,1,1,2
11/26/2024 15:35:43,2024,3,3,4,3,3,4,3,3,4,3,3,4,3,4,3,3,3
11/26/2024 16:01:18,2024,4,3,3,2,4,3,3,3,4,4,2,3,4,4,3,3,3
11/26/2024 16:58:56,2021,3,3,4,4,1,3,4,3,4,4,2,2,1,4,3,2,2
11/26/2024 17:39:40,2023,2,2,4,4,3,3,2,2,4,2,3,2,3,2,2,2,2
11/26/2024 17:50:19,2024,4,4,4,4,2,3,3,4,4,4,4,4,2,4,2,4,4
11/26/2024 18:10:52,2021,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3
11/26/2024 19:50:47,2023,2,3,3,2,2,2,3,1,2,3,3,3,3,2,2,2,2
11/26/2024 21:08:41,2024,4,4,4,4,1,4,3,4,4,4,1,4,4,2,2,2,2
11/26/2024 21:14:34,2021,2,2,2,2,4,3,2,3,4,3,1,1,4,3,2,2,2
11/26/2024 21:33:33,2021,3,3,3,3,3,4,3,3,4,3,3,3,2,3,3,3,3
11/26/2024 21:48:21,2021,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,2,4
11/26/2024 21:50:41,2024,3,3,4,4,4,4,4,2,3,2,2,2,3,3,2,2,3
11/26/2024 22:28:42,2024,3,3,3,3,3,3,2,2,3,2,3,2,2,1,2,2,3
11/26/2024 23:15:42,2024,4,3,3,3,4,4,2,3,4,4,4,3,2,2,3,2,3
11/26/2024 23:16:44,2024,3,3,2,3,4,4,3,3,3,3,4,3,2,2,3,3,3
11/26/2024 23:37:24,2020,4,4,4,4,3,4,4,4,4,4,4,4,4,3,2,4,4
11/27/2024 9:13:44,2024,3,3,4,4,3,4,4,4,4,4,3,2,4,2,3,3,4
11/27/2024 9:33:13,2016,3,3,3,3,2,3,2,2,3,3,3,2,2,2,2,3,3
11/27/2024 9:34:33,2016,3,3,3,3,2,3,2,3,3,3,3,2,2,2,2,3,3
11/27/2024 9:53:14,2023,3,4,3,3,1,4,3,3,3,3,2,2,3,2,2,1,3
11/27/2024 10:04:58,2017,4,3,4,4,3,3,2,2,3,3,3,2,2,2,2,2,3
11/27/2024 10:41:51,2021,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11/27/2024 11:18:37,2024,3,4,3,3,3,4,3,3,3,3,3,3,4,2,2,3,1
11/27/2024 11:21:05,2024,3,4,3,3,3,3,3,3,3,3,3,3,1,3,2,3,2
11/27/2024 14:03:10,2023,2,3,3,3,3,4,2,3,4,3,2,2,3,3,2,2,3
11/27/2024 14:19:12,2021,3,3,3,2,3,3,2,3,3,3,2,2,3,2,2,2,2
11/27/2024 15:05:19,2022,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,2
11/27/2024 15:47:17,2024,3,2,3,3,4,4,2,2,4,4,1,1,2,2,2,2,3
11/27/2024 16:21:53,2021,4,4,4,4,4,3,4,2,4,4,3,3,2,3,2,3,3
11/27/2024 20:51:22,2024,2,2,3,3,1,3,2,3,3,3,3,1,3,2,1,2,2
11/27/2024 21:10:58,2024,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
11/28/2024 9:16:20,2023,4,4,3,3,2,4,4,2,3,2,2,1,4,3,2,2,3
11/28/2024 9:55:11,2022,3,4,3,3,3,2,3,3,3,4,3,2,1,1,2,2,4
11/28/2024 14:41:10,2021,2,1,2,2,2,4,1,3,4,1,1,1,1,2,3,1,3
11/29/2024 10:38:35,2022,4,3,3,4,2,3,3,3,3,4,3,3,2,2,2,2,3